neigh,lat,lon
Airport,43.032827, -81.159418
Argyle, 43.002469, -81.175360
Bostwick,42.933569, -81.279148
Bradley,42.950136, -81.149869
Byron,42.953280, -81.331683
Carling, 43.010981, -81.231751
Central,42.986932, -81.245727
Crumlin,43.001753, -81.137429
East London,42.994963, -81.209678
Fanshawe,43.051183, -81.200149
Fox Hollow,43.023534, -81.339523
Glanworth,42.894383, -81.151473
Glen Cairn,42.961340, -81.201329
Hamilton Rd,42.974187, -81.171727
Highbury,42.935999, -81.172053
Highland,42.954211, -81.253183
Huron Heights,43.022313, -81.207689
Hyde Park,42.997909, -81.335038
Jackson, 42.955694, -81.168152
Lambeth,42.911066, -81.293082
Longwoods,42.922867, -81.255661
Masonville,43.019004, -81.283318
Medway,43.003512, -81.300850
North London,43.007062, -81.252607
Oakridge,42.975367, -81.319530
Old Victoria,42.958660, -81.128406
Rver Bend,42.971435, -81.355391
Sharon Creek,42.909486, -81.329969
South London, 42.969591, -81.245497
Southcrest,42.964272, -81.277534
Stoney Creek,43.048724, -81.245295
Stoneybrook,43.030617, -81.251449
Sunningdale,43.031102, -81.300093
Talbot,42.928566, -81.311324
Tempo,42.868827, -81.254605
Uplands,43.038506, -81.271722
West London,42.986176, -81.282674
Westminster,42.936803, -81.205386
Westmount,42.947390, -81.292607
White Oaks,42.934195, -81.234134
Woodhull,42.952074, -81.371603
